'330000','浙江省','10',
'330600','浙江省绍兴市','1000',
'330601','浙江省绍兴市市辖区','100001',
'330602','浙江省绍兴市越城区','100002',
'330603','浙江省绍兴市柯桥区','100003',
'330604','浙江省绍兴市上虞区','100004',
'330624','浙江省绍兴市新昌县','100024',
'330681','浙江省绍兴市诸暨市','100081',
'330683','浙江省绍兴市嵊州市','100083',
'330100','浙江省杭州市','1001',
'330101','浙江省杭州市市辖区','100101',
'330102','浙江省杭州市上城区','100102',
'330103','浙江省杭州市下城区','100103',
'330104','浙江省杭州市江干区','100104',
'330105','浙江省杭州市拱墅区','100105',
'330106','浙江省杭州市西湖区','100106',
'330108','浙江省杭州市滨江区','100108',
'330109','浙江省杭州市萧山区','100109',
'330110','浙江省杭州市余杭区','100110',
'330122','浙江省杭州市桐庐县','100122',
'330127','浙江省杭州市淳安县','100127',
'330182','浙江省杭州市建德市','100182',
'330183','浙江省杭州市富阳市','100183',
'330185','浙江省杭州市临安市','100185',
'330200','浙江省宁波市','1002',
'330201','浙江省宁波市市辖区','100201',
'330203','浙江省宁波市海曙区','100203',
'330204','浙江省宁波市江东区','100204',
'330205','浙江省宁波市江北区','100205',
'330206','浙江省宁波市北仑区','100206',
'330211','浙江省宁波市镇海区','100211',
'330212','浙江省宁波市鄞州区','100212',
'330225','浙江省宁波市象山县','100225',
'330226','浙江省宁波市宁海县','100226',
'330281','浙江省宁波市余姚市','100281',
'330282','浙江省宁波市慈溪市','100282',
'330283','浙江省宁波市奉化市','100283',
'330300','浙江省温州市','1003',
'330301','浙江省温州市市辖区','100301',
'330302','浙江省温州市鹿城区','100302',
'330303','浙江省温州市龙湾区','100303',
'330304','浙江省温州市瓯海区','100304',
'330322','浙江省温州市洞头县','100322',
'330324','浙江省温州市永嘉县','100324',
'330326','浙江省温州市平阳县','100326',
'330327','浙江省温州市苍南县','100327',
'330328','浙江省温州市文成县','100328',
'330329','浙江省温州市泰顺县','100329',
'330381','浙江省温州市瑞安市','100381',
'330382','浙江省温州市乐清市','100382',
'330400','浙江省嘉兴市','1004',
'330401','浙江省嘉兴市市辖区','100401',
